Item ID,Skill Code Id,Performance Code,Order ID,AIdent,Start Date,End Date,Pay Rate,Bill Rate,Salary,Salary Bill,Perf Note,User Defined Order Note
678237,0,Open,20254,225261,2/4/2018,,8,13.88,0,0,,
663657,0,Assignment Terminated - No Reason Given,18318,184514,8/9/2017,8/9/2017,8.15,11.82,0,0,,
666146,0,Complete,17885,186334,9/20/2017,9/22/2017,8.15,11.17,0,0,,
666143,0,Complete,17885,186555,9/20/2017,9/25/2017,8.15,11.17,0,0,,
673239,0,Completed Early,17885,210145,12/4/2017,12/20/2017,8.15,11.17,0,0,,
673244,0,Assignment Terminated - Attendance,17885,221151,12/6/2017,12/19/2017,8.15,11.17,0,0,,
664022,0,Assignment Terminated - Attendance,17193,184399,8/15/2017,9/28/2017,8.15,11.08,0,0,,
664021,0,A Quit - Stopped Showing / No Notice,17193,184777,8/15/2017,8/18/2017,8.15,11.08,0,0,,
666553,0,A Quit - Stopped Showing / No Notice,17193,186286,10/2/2017,10/20/2017,8.15,11.08,0,0,,
665719,0,A Quit - Stopped Showing / No Notice,17193,186342,9/15/2017,9/15/2017,8.15,11.08,0,0,,
666556,0,Deleted/Mistakenly entered,17193,186455,10/2/2017,10/2/2017,8.15,11.08,0,0,,
666873,0,Assignment Terminated - No Call / No Show,17193,186461,10/5/2017,10/16/2017,8.15,11.08,0,0,,
669138,0,A Quit - Stopped Showing / No Notice,17193,207393,10/31/2017,11/1/2017,8.15,11.08,0,0,,
667915,0,Assignment Terminated - Violation of Rules,17193,208053,10/19/2017,11/21/2017,8.15,11.08,0,0,,
667914,0,A Quit - Stopped Showing / No Notice,17193,208166,10/19/2017,10/20/2017,8.15,11.08,0,0,,
669653,0,Assignment Terminated - Poor Production,17193,208319,11/7/2017,12/1/2017,8.15,11.08,0,0,,
669651,0,Rate Change,17193,209511,11/7/2017,12/31/2017,8.15,11.08,0,0,,
672395,0,Rate Change,17193,221213,11/29/2017,12/31/2017,8.15,11.08,0,0,,
673209,0,Assignment Terminated - No Reason Given,17193,221686,12/6/2017,12/15/2017,8.15,11.08,0,0,,
663098,0,Assignment Terminated - No Reason Given,19054,184224,8/3/2017,8/10/2017,8.15,11,0,0,,
665563,0,A Quit - Resigned with Notice,19054,185410,9/11/2017,9/13/2017,8.15,11,0,0,,
666339,0,Assignment Terminated - No Call / No Show,19054,186926,9/27/2017,9/27/2017,8.15,11,0,0,,
662961,1753,A Quit - Stopped Showing / No Notice,18568,184144,8/2/2017,10/12/2017,8.15,10.76,0,0,,
666446,1767,A Quit - Stopped Showing / No Notice,18570,184399,9/29/2017,10/9/2017,8.15,10.76,0,0,,
663279,1767,A Quit - Stopped Showing / No Notice,18570,184472,8/8/2017,8/11/2017,8.15,10.76,0,0,,
669530,1767,Assignment Terminated - Violation of Rules,18570,184588,11/6/2017,12/22/2017,8.15,10.76,0,0,,
664563,1753,A Quit - Stopped Showing / No Notice,18568,184741,8/29/2017,8/30/2017,8.15,10.76,0,0,,
667568,1767,Assignment Terminated - Attendance,18570,184776,10/16/2017,10/18/2017,8.15,10.76,0,0,,
663783,1767,Assignment Terminated - Violation of Rules,18570,184806,8/15/2017,9/8/2017,8.15,10.76,0,0,,
663782,1767,A Quit - Stopped Showing / No Notice,18570,184810,8/15/2017,10/13/2017,8.15,10.76,0,0,,
663865,1767,A Quit - Resigned with Notice,18570,184861,8/16/2017,9/8/2017,8.15,10.76,0,0,,
663866,1767,A Quit - Accepted Job with Client or Other Company,18570,184862,8/16/2017,9/8/2017,8.15,10.76,0,0,,
668558,1767,Assignment Terminated - Attendance,18570,184867,10/26/2017,10/31/2017,8.15,10.76,0,0,,
664239,1753,Assignment Terminated - Violation of Rules,18568,185025,8/23/2017,8/23/2017,8.15,10.76,0,0,,
664012,1753,Assignment Terminated - Attendance,18568,185034,8/18/2017,8/20/2017,8.15,10.76,0,0,,
664013,1753,A Quit - Stopped Showing / No Notice,18568,185035,8/18/2017,8/21/2017,8.15,10.76,0,0,,
665907,1753,Assignment Terminated - Attendance,18568,185079,9/19/2017,10/27/2017,8.15,10.76,0,0,,
667459,1767,A Quit - Stopped Showing / No Notice,18570,185081,10/13/2017,10/27/2017,8.15,10.76,0,0,,
664136,1753,A Quit - Stopped Showing / No Notice,18568,185108,8/22/2017,8/31/2017,8.15,10.76,0,0,,
664240,1753,Assignment Terminated - Violation of Rules,18568,185233,8/23/2017,8/28/2017,8.15,10.76,0,0,,
667390,1767,Assignment Terminated - Violation of Rules,18570,185260,10/12/2017,11/8/2017,8.15,10.76,0,0,,
668156,1767,Assignment Terminated - Violation of Rules,18570,185397,10/23/2017,11/1/2017,8.15,10.76,0,0,,
664429,1753,Assignment Terminated - Poor Production,18568,185399,8/25/2017,9/5/2017,8.15,10.76,0,0,,
664562,1767,A Quit - Stopped Showing / No Notice,18570,185504,8/29/2017,9/25/2017,8.15,10.76,0,0,,
665687,1767,Assignment Terminated - Attendance,18570,185614,9/14/2017,9/28/2017,8.15,10.76,0,0,,
666127,1753,A Quit - Stopped Showing / No Notice,18568,186117,9/25/2017,10/27/2017,8.15,10.76,0,0,,
665900,1767,A Quit - Stopped Showing / No Notice,18570,186564,9/20/2017,9/20/2017,8.15,10.76,0,0,,
666125,1753,Assignment Terminated - No Reason Given,18568,186725,9/25/2017,10/2/2017,8.15,10.76,0,0,,
666484,1767,Rate Change,18570,187152,10/2/2017,12/31/2017,8.15,10.76,0,0,,
675333,1767,Rate Change,18570,207241,12/29/2017,12/31/2017,8.15,10.76,0,0,,
666585,1767,Assignment Terminated - Attendance,18570,207242,10/3/2017,11/28/2017,8.15,10.76,0,0,,
667230,1767,Assignment Terminated - Attendance,18570,207568,10/11/2017,10/12/2017,8.15,10.76,0,0,,
668257,1767,Assignment Terminated - Violation of Rules,18570,207824,10/24/2017,11/17/2017,8.15,10.76,0,0,,
667460,1767,Assignment Terminated - No Reason Given,18570,207847,10/13/2017,10/18/2017,8.15,10.76,0,0,,
667921,1767,A Quit - Stopped Showing / No Notice,18570,208051,10/19/2017,12/28/2017,8.15,10.76,0,0,,
667919,1767,Assignment Terminated - Attendance,18570,208182,10/19/2017,10/27/2017,8.15,10.76,0,0,,
668158,1767,Assignment Terminated - Laid Off,18570,208271,10/23/2017,11/3/2017,8.15,10.76,0,0,,
669404,1767,Assignment Terminated - No Reason Given,18570,208314,11/2/2017,11/3/2017,8.15,10.76,0,0,,
668256,1767,Assignment Terminated - Laid Off,18570,208390,10/24/2017,11/3/2017,8.15,10.76,0,0,,
674151,1767,Rate Change,18570,208659,12/18/2017,12/31/2017,8.15,10.76,0,0,,
668973,1753,Assignment Terminated - Attendance,18568,208678,10/30/2017,11/1/2017,8.15,10.76,0,0,,
669177,1767,Assignment Terminated - Attendance,18570,208853,10/31/2017,11/1/2017,8.15,10.76,0,0,,
669403,1767,Rate Change,18570,208875,11/2/2017,12/31/2017,8.15,10.76,0,0,,
670627,2026,Assignment Terminated - Laid Off,19272,208977,11/3/2017,11/3/2017,8.15,10.76,0,0,,
669405,1767,Assignment Terminated - Attendance,18570,209128,11/2/2017,11/3/2017,8.15,10.76,0,0,,
670359,1767,A Quit - Stopped Showing / No Notice,18570,209864,11/10/2017,12/18/2017,8.15,10.76,0,0,,
671335,1767,Assignment Terminated - No Reason Given,18570,210348,11/16/2017,11/16/2017,8.15,10.76,0,0,,
671762,1767,A Quit - Accepted Job with Client or Other Company,18570,220754,11/21/2017,12/10/2017,8.15,10.76,0,0,,
672851,1767,Rate Change,18570,221122,12/5/2017,12/31/2017,8.15,10.76,0,0,,
672847,1767,Assignment Terminated - Attendance,18570,221458,12/5/2017,12/26/2017,8.15,10.76,0,0,,
674439,1767,Rate Change,18570,221686,12/21/2017,12/31/2017,8.15,10.76,0,0,,
673278,1767,Rate Change,18570,221813,12/8/2017,12/31/2017,8.15,10.76,0,0,,
674150,1767,Assignment Terminated - No Reason Given,18570,222348,12/18/2017,12/22/2017,8.15,10.76,0,0,,
675593,1767,Deleted/Mistakenly entered,18570,222415,1/5/2018,1/5/2018,8.15,10.76,0,0,,
674438,1767,A Quit - Stopped Showing / No Notice,18570,222461,12/21/2017,12/22/2017,8.15,10.76,0,0,,
675415,1767,Deleted/Mistakenly entered,18570,222853,1/2/2018,1/2/2018,8.15,10.76,0,0,,
675735,1767,Deleted/Mistakenly entered,18570,223179,1/8/2018,1/8/2018,8.15,10.76,0,0,,
663084,2355,A Quit - Stopped Showing / No Notice,19601,184166,7/24/2017,8/17/2017,8.25,11.04,0,0,,
663082,2355,Rate Change,19601,184170,7/24/2017,8/20/2017,8.25,11.04,0,0,,
663081,2355,Deleted/Mistakenly entered,19601,184285,7/24/2017,7/24/2017,8.25,11.04,0,0,,
663088,2355,Deleted/Mistakenly entered,19601,184324,7/24/2017,8/3/2017,8.25,11.04,0,0,,
663089,2355,Deleted/Mistakenly entered,19601,184327,7/24/2017,8/3/2017,8.25,11.04,0,0,,
663086,2355,Deleted/Mistakenly entered,19601,184329,7/24/2017,8/3/2017,8.25,11.04,0,0,,
663087,2355,Deleted/Mistakenly entered,19601,184330,7/24/2017,8/3/2017,8.25,11.04,0,0,,
663085,2355,Deleted/Mistakenly entered,19601,184331,7/24/2017,8/3/2017,8.25,11.04,0,0,,
663090,2355,Deleted/Mistakenly entered,19601,184332,7/24/2017,8/3/2017,8.25,11.04,0,0,,
663314,2355,A Quit - Stopped Showing / No Notice,19601,184526,8/7/2017,8/17/2017,8.25,11.04,0,0,,
663910,2355,Assignment Terminated - Attendance,19601,184670,8/7/2017,9/13/2017,8.25,11.04,0,0,,
663909,2355,A Quit - Stopped Showing / No Notice,19601,184679,8/9/2017,8/9/2017,8.25,11.04,0,0,,
663907,2355,A Quit - Stopped Showing / No Notice,19601,184681,8/9/2017,8/16/2017,8.25,11.04,0,0,,
676734,2355,Assignment Terminated - Violation of Rules,19601,184755,1/12/2018,1/24/2018,8.25,11.04,0,0,,
